Date,Close
13/8/14,505.97
14/8/14,497.01
15/8/14,519.71
16/8/14,491.8
17/8/14,461.46
18/8/14,485.25
19/8/14,511.98
20/8/14,517.24
21/8/14,514.04
22/8/14,498.07
23/8/14,508.29
24/8/14,502.5
25/8/14,511.57
26/8/14,511.15
27/8/14,507.81
28/8/14,508.52
29/8/14,504.25
30/8/14,477.76
31/8/14,474.88
1/9/14,477.43
2/9/14,477.59
3/9/14,489.66
4/9/14,483.34
5/9/14,484.83
6/9/14,482.28
7/9/14,474.6
8/9/14,475.26
9/9/14,479.36
10/9/14,479.75
11/9/14,477.75
12/9/14,479
13/9/14,477.89
14/9/14,475.37
15/9/14,466.06
16/9/14,457.33
17/9/14,424.44
18/9/14,394.8
19/9/14,408.9
20/9/14,398.82
21/9/14,402.15
22/9/14,435.79
23/9/14,423.2
24/9/14,411.57
25/9/14,404.43
26/9/14,399.52
27/9/14,377.18
28/9/14,375.47
29/9/14,386.94
30/9/14,383.62
1/10/14,375.07
2/10/14,359.51
3/10/14,328.87
4/10/14,320.51
5/10/14,330.08
6/10/14,336.19
7/10/14,352.94
8/10/14,365.03
9/10/14,361.56
10/10/14,362.3
11/10/14,378.55
12/10/14,390.41
13/10/14,400.87
14/10/14,394.77
15/10/14,382.56
16/10/14,383.76
17/10/14,391.44
18/10/14,389.55
19/10/14,382.85
20/10/14,386.48
21/10/14,383.16
22/10/14,358.42
23/10/14,358.35
24/10/14,347.27
25/10/14,354.7
26/10/14,352.99
27/10/14,357.62
28/10/14,335.59
29/10/14,345.31
30/10/14,338.32
31/10/14,325.75
1/11/14,325.89
2/11/14,327.55
3/11/14,330.49
4/11/14,339.49
5/11/14,349.29
6/11/14,342.42
7/11/14,345.49
8/11/14,363.26
9/11/14,366.92
10/11/14,367.69
11/11/14,423.56
12/11/14,420.74
13/11/14,397.82
14/11/14,376.13
15/11/14,387.88
16/11/14,387.41
17/11/14,375.2
18/11/14,380.56
19/11/14,357.84
20/11/14,350.85
21/11/14,352.92
22/11/14,367.57
23/11/14,376.9
24/11/14,375.35
25/11/14,368.37
26/11/14,369.67
27/11/14,376.45
28/11/14,375.49
29/11/14,378.05
30/11/14,379.25
1/12/14,381.31
2/12/14,375.01
3/12/14,369.6
4/12/14,376.85
5/12/14,374.79
6/12/14,375.1
7/12/14,361.91
8/12/14,352.22
9/12/14,346.37
10/12/14,350.51
11/12/14,352.54
12/12/14,347.38
13/12/14,351.63
14/12/14,345.35
15/12/14,327.06
16/12/14,319.78
17/12/14,311.4
18/12/14,317.84
19/12/14,329.96
20/12/14,320.84
21/12/14,331.89
22/12/14,334.57
23/12/14,322.53
24/12/14,319.01
25/12/14,327.92
26/12/14,315.86
27/12/14,317.24
28/12/14,312.67
29/12/14,310.74
30/12/14,320.19
31/12/14,314.25
1/1/15,315.03
2/1/15,281.08
3/1/15,264.19
4/1/15,274.47
5/1/15,286.19
6/1/15,294.34
7/1/15,283.35
8/1/15,290.41
9/1/15,274.8
10/1/15,265.66
11/1/15,267.8
12/1/15,225.86
13/1/15,178.1
14/1/15,209.84
15/1/15,208.1
16/1/15,199.26
17/1/15,210.34
18/1/15,214.86
19/1/15,211.31
20/1/15,226.9
21/1/15,233.41
22/1/15,232.88
23/1/15,247.85
24/1/15,253.72
25/1/15,273.47
26/1/15,263.48
27/1/15,233.91
28/1/15,233.51
29/1/15,226.43
30/1/15,217.46
31/1/15,226.97
1/2/15,238.23
2/2/15,227.27
3/2/15,226.85
4/2/15,217.11
5/2/15,222.27
6/2/15,227.75
7/2/15,223.41
8/2/15,220.11
9/2/15,219.84
10/2/15,219.19
11/2/15,221.76
12/2/15,235.43
13/2/15,257.32
14/2/15,234.82
